CpuMaxMemory,EpLenMean,EpRewMean,GpuMaxMemory,IPS_total,Iter,Misc/FrameRewMean,Misc/InteractCount,Misc/TimeElapsed,Opt/approxkl,Opt/clipfrac,Opt/entropy,Opt/loss_pi,Opt/loss_vf,Opt/negent,Opt/pg,Opt/pi_kl,VFStats/AdvMean,VFStats/AdvStd,VFStats/EV,VFStats/VpredMean,VFStats/VpredStd,VFStats/VtargMean,VFStats/VtargStd,del_time,wait_optimization,scaled/pol_distance,scaled/vf_aux,scaled/vf_true,unscaled/pol_distance,unscaled/vf_aux,unscaled/vf_true
5995834000.0,149.52941176470588,2.941176414489746,2788097024.0,11787.81561159685,0.0,0.00152587890625,32768.0,2.779827117919922,0.004507892532274127,0.029693603515625,2.7043817043304443,-0.026433879043906927,0.07947960123419762,-0.02704381477087736,0.0006099408492445946,0.0,0.03157835640013218,0.39105498790740967,0.002337193623441758,-0.06143924407660961,0.014237872790545225,-0.029860885813832283,0.3915790021419525,2.779827117919922,0.8149961233139038,,,,,,
6214328000.0,301.8780487804878,3.2926828861236572,2990685696.0,11721.7409009129,1.0,0.0067138671875,65536.0,5.575316309928894,0.0036583656910806894,0.034149169921875,2.6942166090011597,-0.02723648212850094,0.336675189435482,-0.02694216649979353,-0.0002943165600299835,0.0,0.12841059267520905,0.7963466644287109,0.0003141699357123162,-0.021448712795972824,0.0159916914999485,0.10696188174188137,0.7965007722377777,2.795489192008972,0.8133848905563354,,,,,,
6430128000.0,345.4071856287425,4.01197624206543,2990685696.0,12327.395614059906,2.0,0.01220703125,98304.0,8.233460903167725,0.002700235927477479,0.015045166015625,2.6872572898864746,-0.027702264487743378,0.5725346207618713,-0.026872574351727962,-0.0008296957239508629,0.0,0.2182682454586029,1.0580907464027405,0.002556782904330257,0.06103793904185295,0.017461572773754597,0.27930618822574615,1.0594333410263062,2.6581445932388306,0.7916945219039917,,,,,,
6660222000.0,353.45,4.449999809265137,2990685696.0,12190.369853204356,3.0,0.0189208984375,131072.0,10.921484351158142,0.005819141864776611,0.08203125,2.654642701148987,-0.025677563156932592,0.831244707107544,-0.026546424254775047,0.0008688606321811676,0.0,0.31744541227817535,1.282622754573822,0.002565374943120702,0.29301032423973083,0.04744410701096058,0.6104557514190674,1.2842767834663391,2.6880234479904175,0.797559380531311,,,,,,
6876100000.0,280.62,3.799999952316284,2990685696.0,12033.14388553617,4.0,0.013427734375,163840.0,13.644629716873169,0.0018283899989910424,0.0025634765625,2.6991140842437744,-0.025803565979003906,0.5988333225250244,-0.026991141960024834,0.0011875750496983528,0.0,0.20757019519805908,1.0643627643585205,0.011171065824265414,0.370498463511467,0.057790251448750496,0.5780686438083649,1.070328712463379,2.723145365715027,0.8008573055267334,,,,,,
7084256000.0,265.97,3.75,2990685696.0,12045.100188823251,5.0,0.00885009765625,196608.0,16.365072011947632,0.004995307652279735,0.07012939453125,2.686297297477722,-0.02747305855154991,0.425282821059227,-0.026862972415983677,-0.0006100870668888092,0.0,0.13804934173822403,0.8697752952575684,0.006750782193298055,0.36787959933280945,0.06235028617084026,0.5059289634227753,0.8726604878902435,2.720442295074463,0.8021605014801025,,,,,,
7295930000.0,300.41,4.050000190734863,2990685696.0,12068.253901274704,6.0,0.01708984375,229376.0,19.080294966697693,0.0011091489577665925,0.000518798828125,2.679784655570984,-0.0274138362146914,0.735052764415741,-0.02679784782230854,-0.0006159860640764236,0.0,0.25107304751873016,1.1836870908737183,0.014821032730566008,0.7728395462036133,0.12423472851514816,1.0239126086235046,1.1920666098594666,2.715222954750061,0.7993594408035278,,,,,,
7513140000.0,235.88,3.8499999046325684,2990685696.0,11721.348531930056,7.0,0.02197265625,262144.0,21.875877737998962,0.00451009813696146,0.0504150390625,2.6355422735214233,-0.028230184223502874,0.8731963634490967,-0.026355421170592308,-0.0018747635185718536,0.0,0.2931685075163841,1.3087401986122131,0.016861744660048417,1.0115058422088623,0.16127120703458786,1.3046742677688599,1.3203386664390564,2.7955827713012695,0.7975063323974609,,,,,,
7731676000.0,150.11,4.099999904632568,2990685696.0,12252.995024067963,8.0,0.03204345703125,294912.0,24.55016267299652,0.0054194084368646145,0.04058837890625,2.5879383087158203,-0.02639866154640913,1.1393006443977356,-0.02587938215583563,-0.0005192798562347889,0.0,0.37332868576049805,1.5032252669334412,0.04240021244442771,1.3745867013931274,0.2062380090355873,1.7479154467582703,1.535960853099823,2.6742849349975586,0.7884211540222168,,,,,,
7945950000.0,127.275,4.300000190734863,2990685696.0,12046.228233906817,9.0,0.03326416015625,327680.0,27.270350217819214,0.00147177092730999,0.00067138671875,2.6333364248275757,-0.02607579156756401,1.2113803029060364,-0.02633336279541254,0.0002575712278485298,0.0,0.36703087389469147,1.512849509716034,0.03853612663298778,1.443947196006775,0.2032439187169075,1.8109780550003052,1.5425719618797302,2.720187544822693,0.7957725524902344,,,,,,
8153500000.0,116.95,4.699999809265137,2990685696.0,11124.79805019845,10.0,0.03753662109375,360448.0,30.21584188938141,0.002723477780818939,0.02655029296875,2.587855100631714,-0.026542791165411472,1.2293018102645874,-0.025878550484776497,-0.0006642397493124008,0.0,0.36539214849472046,1.5499520897865295,0.05905433810286975,1.8855324983596802,0.30927489697933197,2.250924587249756,1.5968252420425415,2.945491671562195,0.82131028175354,,,,,,
