CpuMaxMemory,EpLenMean,EpRewMean,GpuMaxMemory,IPS_total,Iter,Misc/FrameRewMean,Misc/InteractCount,Misc/TimeElapsed,Opt/approxkl,Opt/clipfrac,Opt/entropy,Opt/loss_pi,Opt/loss_vf,Opt/negent,Opt/pg,Opt/pi_kl,VFStats/AdvMean,VFStats/AdvStd,VFStats/EV,VFStats/VpredMean,VFStats/VpredStd,VFStats/VtargMean,VFStats/VtargStd,del_time,wait_optimization
5795968000.0,156.41176470588235,3.529411792755127,2788129792.0,8075.846603787861,0.0,0.0018310546875,32768.0,4.057545185089111,0.004424561280757189,0.026611328125,2.704240560531616,-0.029643587302416563,0.08750280551612377,-0.027042406611144543,-0.0026011792942881584,0.0,0.036205572076141834,0.4221091568470001,-0.0004258729377843995,-0.0062204995192587376,0.016510223038494587,0.02998507395386696,0.42205509543418884,4.057545185089111,2.305147409439087
5809624000.0,292.469696969697,3.939393997192383,2990718464.0,8300.577247636695,1.0,0.006103515625,65536.0,8.00522243976593,0.0035026681143790483,0.020782470703125,2.700159788131714,-0.028984467033296824,0.26881490647792816,-0.027001598849892616,-0.00198286771774292,0.0,0.1063765212893486,0.7360846996307373,0.04040349334312132,0.07563456147909164,0.08149582892656326,0.18201108276844025,0.7519795596599579,3.947677254676819,2.266891598701477
5824694000.0,358.16806722689074,4.201680660247803,2990718464.0,8278.146981519629,2.0,0.00732421875,98304.0,11.963596224784851,0.0036070675123482943,0.022796630859375,2.6977046728134155,-0.02947496622800827,0.27204398065805435,-0.02697704639285803,-0.0024979114532470703,0.0,0.1260976940393448,0.7768061459064484,0.13483429656526402,0.1808190494775772,0.21085523813962936,0.306916743516922,0.8358903229236603,3.958373785018921,2.279015898704529
5852514000.0,486.13,3.5999999046325684,2990718464.0,8084.90089995054,3.0,0.0103759765625,131072.0,16.01658344268799,0.01171510899439454,0.159759521484375,2.6666194200515747,-0.030205538496375084,0.26869358122348785,-0.026666194200515747,-0.0035393480211496353,0.0,0.18622396886348724,0.87516850233078,0.3803203851910497,0.3397817462682724,0.43246155977249146,0.526005744934082,1.1104384064674377,4.052987217903137,2.264824390411377
5873926000.0,421.01,3.5999999046325684,2990718464.0,8090.135621366668,4.0,0.01373291015625,163840.0,20.066948175430298,0.011648986488580704,0.1597900390625,2.6619457006454468,-0.026407656259834766,0.3344080001115799,-0.02661945763975382,0.00021179765462875366,0.0,0.22523218393325806,0.974994421005249,0.3475890269394847,0.2799830883741379,0.3756210058927536,0.5052153021097183,1.2021713256835938,4.05036473274231,2.2816251516342163
5904194000.0,228.335,4.199999809265137,2990718464.0,8089.640389873742,5.0,0.02471923828125,196608.0,24.117560863494873,0.009537204634398222,0.128021240234375,2.640743851661682,-0.029448947869241238,0.46548396348953247,-0.026407437399029732,-0.0030415095388889313,0.0,0.41773176193237305,1.1973050236701965,0.5948803825042774,0.5736202001571655,1.0990977883338928,0.991351991891861,1.8828208446502686,4.050612688064575,2.2771096229553223
5926856000.0,148.62,4.5,2990718464.0,8256.034746919442,6.0,0.03173828125,229376.0,28.086536407470703,0.008587302174419165,0.115234375,2.6315338611602783,-0.0303739826194942,0.62994185090065,-0.026315337978303432,-0.0040586479008197784,0.0,0.4801889657974243,1.2396095991134644,0.7457762947096916,1.0115656852722168,1.8731727600097656,1.4917546510696411,2.4563249349594116,3.96897554397583,2.280829668045044
5946244000.0,157.155,4.699999809265137,2990718464.0,8261.406096085959,7.0,0.0323486328125,262144.0,32.05293142795563,0.010605085641145706,0.14501953125,2.6223909854888916,-0.025892939418554306,0.6635479629039764,-0.026223910972476006,0.00033096829429268837,0.0,0.45743581652641296,1.255993127822876,0.7903431879548263,1.7270516157150269,2.3116132020950317,2.1844875812530518,2.7429540157318115,3.9663950204849243,2.2788623571395874
5963298000.0,122.69,4.650000095367432,2990718464.0,8179.2639722066,8.0,0.03997802734375,294912.0,36.05915987491608,0.00791191472671926,0.109130859375,2.607623815536499,-0.026294516399502754,0.8271432518959045,-0.026076238602399826,-0.00021827686578035355,0.0,0.4861219525337219,1.4186869859695435,0.8037686959621406,2.44558846950531,2.899043560028076,2.931710362434387,3.2031115293502808,4.006228446960449,2.284838557243347
5973984000.0,110.275,4.300000190734863,2990718464.0,8352.896620360858,9.0,0.03509521484375,327680.0,39.982110381126404,0.007705609314143658,0.078369140625,2.595710515975952,-0.029740022495388985,0.778294563293457,-0.025957106612622738,-0.003782916348427534,0.0,0.33348770439624786,1.2963245511054993,0.7907296255026738,2.42732572555542,2.456109404563904,2.7608134746551514,2.8339407444000244,3.922950506210327,2.278925895690918
5986042000.0,101.33,4.599999904632568,2990718464.0,8194.305102086055,10.0,0.0445556640625,360448.0,43.980985164642334,0.007368267746642232,0.073822021484375,2.562025308609009,-0.02810413111001253,1.0434905290603638,-0.025620252825319767,-0.0024838759563863277,0.0,0.37146812677383423,1.4599699974060059,0.7957811419622776,2.947993516921997,2.864249348640442,3.3194615840911865,3.231111764907837,3.99887478351593,2.285886764526367
5993926000.0,100.295,5.150000095367432,2990718464.0,8213.577932553086,11.0,0.0543212890625,393216.0,47.97047674655914,0.006188372150063515,0.06365966796875,2.539694309234619,-0.02690034545958042,1.0138632953166962,-0.02539694309234619,-0.0015034051612019539,0.0,0.3837846368551254,1.484619140625,0.7792704233306025,3.203390598297119,2.7188020944595337,3.587175130844116,3.1602771282196045,3.989491581916809,2.2782747745513916
