CpuMaxMemory,EpLenMean,EpRewMean,GpuMaxMemory,IPS_total,Iter,Misc/FrameRewMean,Misc/InteractCount,Misc/TimeElapsed,Opt/approxkl,Opt/clipfrac,Opt/entropy,Opt/loss_pi,Opt/loss_vf,Opt/negent,Opt/pg,Opt/pi_kl,VFStats/AdvMean,VFStats/AdvStd,VFStats/EV,VFStats/VpredMean,VFStats/VpredStd,VFStats/VtargMean,VFStats/VtargStd,del_time,wait_optimization,scaled/pol_distance,scaled/vf_aux,scaled/vf_true,unscaled/pol_distance,unscaled/vf_aux,unscaled/vf_true
2417022000.0,146.55,2.0,6179011584.0,4675.287942811094,0.0,0.001220703125,32768.0,7.008840799331665,0.0017867842689156532,0.875,2.7042824029922485,-0.025279422756284475,0.06536751426756382,-0.027042824774980545,-2.3383647203445435e-05,0.0017867842689156532,0.021991589106619358,0.3359830006957054,0.0025437892308135535,0.06359094195067883,0.0241486057639122,0.08558252826333046,0.33648648113012314,7.008840799331665,4.0968053340911865,,,,,,
2622824000.0,248.93478260869566,2.82608699798584,6381600256.0,4766.414550999381,1.0,0.00274658203125,65536.0,13.883610010147095,0.00026325431099394336,0.875,2.70523464679718,-0.02687982562929392,0.13277549669146538,-0.02705234568566084,-9.073689579963684e-05,0.00026325431099394336,0.04928515665233135,0.5080545246601105,0.018505694967746567,0.06967924907803535,0.015478586312383413,0.11896440386772156,0.5130778551101685,6.87476921081543,4.112533092498779,,,,,,
2828548000.0,357.16438356164383,3.2876713275909424,6381600256.0,4770.269412144853,2.0,0.00335693359375,98304.0,20.75282371044159,0.00021878958796150982,0.874969482421875,2.7044376134872437,-0.026772845536470413,0.16395370662212372,-0.027044374495744705,5.273777060210705e-05,0.00021878958796150982,0.06130240112543106,0.5658442676067352,0.03483071074694466,0.09096645563840866,0.05709093064069748,0.15226885676383972,0.5757363140583038,6.869213700294495,4.142008304595947,,,,,,
3051424000.0,614.1918604651163,2.383720874786377,6381600256.0,4745.419002540549,3.0,0.00518798828125,131072.0,27.65800952911377,0.0001886534082586877,0.875,2.7066441774368286,-0.026744095142930746,0.22952359169721603,-0.02706644032150507,0.0001336885616183281,0.0001886534082586877,0.07618062943220139,0.6860834658145905,0.034452025794542984,0.22848277539014816,0.04945807904005051,0.30466340482234955,0.6982365250587463,6.90518581867218,4.140455603599548,,,,,,
3262120000.0,611.455,2.5999999046325684,6381600256.0,4709.297468218399,4.0,0.0048828125,163840.0,34.61615991592407,0.0002278379979543388,0.875,2.7045685052871704,-0.027390319854021072,0.19876231253147125,-0.02704568486660719,-0.0005724765360355377,0.0002278379979543388,0.0798981711268425,0.6558590531349182,0.11301769311979659,0.32685594260692596,0.13414732366800308,0.40675412118434906,0.6954978406429291,6.958150386810303,4.138449668884277,,,,,,
3471682000.0,598.33,2.25,6381600256.0,4669.579336937778,5.0,0.0048828125,196608.0,41.63349437713623,0.000637279823422432,0.875,2.7004109621047974,-0.027301136404275894,0.19876333326101303,-0.027004108764231205,-0.000934310257434845,0.000637279823422432,0.0731034055352211,0.6013778746128082,0.39523048434054375,0.6487977504730225,0.4113263338804245,0.7219011783599854,0.7814817428588867,7.017334461212158,4.161258816719055,,,,,,
3680880000.0,453.975,3.450000047683716,6381600256.0,4753.363390659271,6.0,0.010986328125,229376.0,48.52713942527771,0.001959175046067685,0.875,2.6949708461761475,-0.02735117729753256,0.3346458673477173,-0.02694970741868019,-0.0023606428876519203,0.001959175046067685,0.15618453919887543,0.8366159200668335,0.46866617533976973,1.0427353978157043,0.6023315191268921,1.1989198923110962,1.1460371613502502,6.8936450481414795,4.185357213020325,,,,,,
3894820000.0,441.975,4.099999904632568,6381600256.0,4733.041739339988,7.0,0.013427734375,262144.0,55.45038282871246,0.0011168380733579397,0.874969482421875,2.690345048904419,-0.026874498929828405,0.4087149500846863,-0.026903451420366764,-0.0010878872126340866,0.0011168380733579397,0.18930233269929886,0.900201290845871,0.5972001648563954,1.0904820561408997,0.9257093966007233,1.2797844409942627,1.4178717732429504,6.923243403434753,4.172967076301575,,,,,,
4114136000.0,294.02,4.400000095367432,6381600256.0,4808.086430103733,8.0,0.02197265625,294912.0,62.265568137168884,0.0011384891113266349,0.875,2.672274589538574,-0.02701898291707039,0.7388150095939636,-0.0267227441072464,-0.0014347266405820847,0.0011384891113266349,0.2869385778903961,1.1347624063491821,0.6634367310204885,1.65693199634552,1.4984850883483887,1.9438705444335938,1.9507736563682556,6.815185308456421,4.1776734590530396,,,,,,
4329558000.0,202.145,5.099999904632568,6381600256.0,4717.677624227055,9.0,0.02716064453125,327680.0,69.2113585472107,0.0015425498713739216,0.875,2.6564747095108032,-0.027056699618697166,0.8108197748661041,-0.026564746163785458,-0.002034500241279602,0.0015425498713739216,0.3097126632928848,1.273561954498291,0.6403314721682731,2.6216176748275757,1.7798334956169128,2.9313303232192993,2.1240789890289307,6.945790410041809,4.189769148826599,,,,,,
